smiles,Egc
[*]Cc1ccc(OCOc2ccc([*])c3cccnc23)c2ncccc12,3.5315
[*]C(Br)=C(c1ccccc1)c1ccc([*])cc1,3.469
[*]Nc1ccc(-c2ccc(NC(=O)c3cccc(C([*])=O)c3)cc2)cc1,3.4939
[*]CCCCCCCCNC(=O)CC(=O)N[*],6.004
[*]CCCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3c(Br)c2c1=O,3.5814
[*]C(=O)NNC(=O)C(=O)NNC(=O)c1cncc([*])n1,4.3374
[*]CCCCCCCCCCC(=O)NCC(=O)N[*],6.0226
[*]CC([*])OC(=O)c1cccc(Cl)c1,1.7974
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,6.2922
[*]CC(OC(C)=O)C(COC(=O)O[*])OC(C)=O,6.5585
[*]CCCCCCCCCCOC(=O)Cc1ccc(CC(=O)O[*])cc1,5.3355
[*]CC#CC#CCOc1ccc(-c2ccc(O[*])cc2)cc1,4.0246
[*]CC([*])c1ccc2ccccc2c1,3.6351
[*]c1cccc([*])c1N,3.8845
[*]CCOCCOC(=O)CC(=O)O[*],6.2374
[*]C=CC1CC([*])C2C(=O)N(CCCCCC)C(=O)C12,4.6556
[*]OC1C(COC)OC([*])C(OC)C1OC,5.6468
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],4.0962
[*]CC1CCC(CNC(=O)CCCCCCCCCCC(=O)N[*])CC1,5.9594
[*]CCCCCC[N+]([*])(C)C,0.0205
[*]OC(=O)C1CCC(C(=O)OC2COC3C([*])COC23)CC1,6.4746
[*]Oc1ccc(CC(C#N)(C#N)Cc2ccc([*])cc2)cc1,4.9531
[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Sc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)cc1,2.9567
[*]NC(CCC([*])=O)C(=O)O,5.9301
[*]CCCCCCCCNC(=O)CCC=CCCC(=O)N[*],5.2366
[*]c1[nH]c([*])c(OC)c1OC,2.5591
[*]C=CC(CN)C([*])C(=O)O,5.3681
[*]CCCNC(=O)CCC=CCCC(=O)N[*],5.7523
[*]c1cc(C)c([*])cn1,5.1074
[*]CCC([2H])C([*])([2H])C,6.8414
[*]CNC(=O)CCCC(=O)N[*],6.1798
[*]CCCCCCNC(=O)CCCC(=O)O[*],5.9363
[*]CCCCCC(=O)NCCCCCCNC(=O)CCCCO[*],5.8874
[*]OC(F)(F)OC(F)(F)C([*])(F)F,9.8151
[*]CC1CCC(COC(=O)C2CCC(C(=O)O[*])CC2)CC1,6.6637
[*]c1cc(-c2sc(-c3cc(C)c([*])s3)cc2C)c2cccccc1-2,1.8668
[*]CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O[*])cc1,4.734
[*]COC1OC([*])C(O)C(O)C1O,5.8976
[*]CCCCOC(=O)NC1CC1NC(=O)O[*],6.3078
[*]CC(=O)C([*])C,4.7758
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],2.0192
[*]NC(=O)NCCCCCCNC(=O)Nc1cccc([*])n1,4.99
[*]CC1CCC([*])C1,6.9613
[*]CC(C)CO[*],5.976
[*]NCc1cc(C(=O)O)cc(CNc2nc(-c3csc([*])n3)cs2)c1N,3.7145
[*]CC(S1)=CC=C1C(=O)O[*],4.5212
[*]CC([*])c1ccccc1C(=O)OC,5.0713
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],1.9407
[*]NC(C)C(=O)NC(CCC(=O)OCC)C(=O)NCC([*])=O,5.3361
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,3.9194
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],2.8474
[*]CCOC(=O)NCCCC(CCNC(=O)O[*])OC,5.8395
[*]CC(CC)(CC)CO[*],5.586
[*]C(=O)N([*])CCCCCCCCC=C,5.1782
[*]CCOC(=O)Cc1ccc(CC(=O)O[*])cc1,5.1252
[*]CC([*])(Br)Br,5.2567
[*]OC(=O)Oc1ccc(C(=O)Oc2ccc(OC(=O)OC3COC4C([*])COC34)cc2)cc1,4.4189
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.9089
[*]Cc1cc(C)c([*])cc1C,5.0056
[*]COC(=O)O[*],8.0093
[*]CC(C#N)(C#N)[*],7.4098
[*]c1ccc(-c2cnc3cc(Oc4ccc5nc([*])cnc5c4)ccc3n2)cc1,3.3179
[*]C(c1ccccc1)C([*])(C#N)C#N,2.7551
[*]c1cc(C#N)c([*])s1,1.691
[*]c1ccc(-c2ccc(-c3ccc(-c4cnc5ccc(-c6ccc7ncc([*])nc7c6)cc5n4)cc3)cc2)cc1,3.1009
[*]CCCCCCCNC(=S)N[*],4.3034
[*]c1ccc(-c2cnc3ccc(Oc4ccc5ncc([*])nc5c4)cc3n2)cc1,3.3633
[*]CCCOC(=O)COCC(=O)O[*],6.0368
[*]c1ccc(-c2ccc(-c3cnc4cc(-c5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,2.7698
[*]NC(C)CNC(=O)NC(CCCCNC([*])=O)C(=O)OC,5.7921
[*]NC(C)C(C)(C)C([*])=O,5.5547
[*]CCCCNC(=O)CCCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],5.3591
[*]CCCOC(=O)CCCCCCCCCCC(=O)O[*],6.5126
[*]C=Nc1ccc(S(=O)(=O)c2ccc(N=Cc3ccc(Sc4ccc([*])o4)o3)cc2)cc1,3.0975
[*]Cc1ccc(COC(=O)CCCCCC(=O)O[*])cc1,5.6303
[*]NC(=S)NC(=S)[*],2.8537
[*]C=CC=Cc1nc2cc3sc([*])nc3cc2s1,2.5254
[*]c1cc(CC)c([*])s1,2.3523
[*]CC([*])C(=O)OCCCSCCC#N,5.408
[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,5.8653
[*]C(=O)CCCCC(=O)N1CCN([*])CC1,5.6091
[*]CCCC(=O)NCCCCCCNC(=O)CCCO[*],5.652
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc(-c5ccc6nc([*])cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,3.1298
[*]NC(CCC(=O)OCCCC)C([*])=O,5.5734
[*]CCCCOC(=O)CC(=O)O[*],6.6946
[*]OC1(F)CC(C([*])C)C1C(F)(F)C1(F)CC1,7.2672
[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(-c6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1,3.1981
[*]C([2H])([2H])C([*])(F)F,7.1497
[*]C#CC(CCCCOC(=O)NCC(=O)OCCCC)=C([*])c1cncnc1,3.2132
[*]CCOCCOC(=O)C(CCC)C(=O)O[*],6.4978
[*]OC([*])(C)C,6.2991
[*]CC(C)(CCCC)C(=O)N[*],6.0622
[*]CCCCc1nnc([*])n1N,5.3914
[*]c1ccc(Oc2ccc(-c3cnc4ccc(-c5ccc6ncc([*])nc6c5)cc4n3)cc2)cc1,3.2298
[*]N1CC(O)=C(C2C(=O)C3=C(C2=O)C(C)(F)N3[*])C1=O,3.4532
[*]CC([*])F,7.6225
[*]CCCCCCCCCCCCNC(=O)CCCCC(=O)N[*],5.5516
[*]CC([*])N,5.222
[*]CCCCCCCCOC(=O)CCCCC(=O)O[*],6.8225
[*]Oc1cccc(NC(=O)c2ccc([*])cc2)c1,4.3679
[*]COC1CCC([*])OC1,5.6324
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],2.5473
[*]OP(=O)(Oc1ccccc1)Oc1c(Cl)c(Cl)c([*])c(Cl)c1Cl,4.5449
[*]Nc1c(Br)cc([*])cc1Br,4.3604
