smiles,Egc
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],3.9319
[*]Oc1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc([*])cc2)cc1,4.4722
[*]CCC(C)=C([*])C,4.9429
[*]=CC2OC(C=[*])C3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,5.0857
[*]CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O[*],6.7107
[*]c1ccc(-c2sc(-c3cc(SCCCC)c([*])s3)cc2SCCCC)cc1,2.4731
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)C)CC2)cc1,2.7711
[*]CCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],5.3556
[*]OC(C)CCCC(C)C([*])=O,6.6886
[*]CC([*])(C)C(=O)OCCOC(=O)CCn1ccnc1,4.5949
[*]NNC(=O)c1ccc(NC(=O)c2ccc(C([*])=O)cc2)c(O)c1,3.6452
[*]CCCCCCOC(=O)SSC(=O)O[*],5.2035
[*]NC(CCCCNC(=O)NCCNC([*])=O)C(=O)OC,5.4494
[*]c1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.8028
[*]c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N([*])C6=O)cc4C3=O)c(C)c2)cc1C,2.9133
[*]CC1CCC(COC(=O)CCCCCCCCC(=O)O[*])CC1,6.7673
[*]CC1CCCC(CNC(=O)CCCCCCC(=O)N[*])C1,5.9323
[*]OP(=O)(Oc1ccc(-c2ccc([*])cc2)cc1)OC1CCCCC1,4.479
[*]c1cc2cc([*])sc2s1,3.3358
[*]c1ccc(-c2ccc(-c3ccc([*])n3C)n2C)cn1,2.931
[*]C=C([*])C(=O)CC,3.4734
[*]CCCOCCCOC(=O)CCCCCCCCC(=O)O[*],6.4909
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O([*]),3.2146
[*]c1ccc(Oc2ccc(-c3cnc4ccc(-c5ccc6nc([*])cnc6c5)cc4n3)cc2)cc1,3.1515
[*]CCC(=O)NCC(=O)N[*],6.1234
[*]Oc1c(C)cc(N=Nc2ccc(C([*])=O)cc2)cc1C,3.7116
[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)n1,3.6092
[*]CC([*])(C)C(=O)OCC1CCCO1,5.5918
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],1.6616
[*]COC(=O)O[*],8.0093
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],2.6462
[*]CCCCCCNC(=O)CC(=O)N[*],5.7541
[*]OC(=O)CCCCCCCCCCC([*])=O,6.499
[*]c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(-c5cc([*])[nH]n5)cc4)cc3)cc2)cc1,3.5958
[*]C=CC1CC([*])C2C(=O)N(c3ccc(C)cc3)C(=O)C12,5.2272
[*]NNC(=O)C(=O)NNC(=O)CCCCC([*])=O,4.5812
[*]OC(=O)OCC(O)C(O)COC(=O)OC1COC2C([*])COC12,6.3954
[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,2.4414
[*]CCCCCCCCCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)O[*],5.216
[*]OC(=O)c1cccc(C([*])=O)c1,4.6197
[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,2.8156
[*]CCCCCCN(C)C(=O)CCCCCCCCCCC(=O)N([*])C,5.5795
[*]CCCCCCCCCCCCOc1ccc(C=NN=Cc2ccc(O[*])cc2O)c(O)c1,3.7924
[*]CCNC(=O)NCCCCCCNC(=O)O[*],5.6117
[*]Oc1ccc(C2(c3ccc(Oc4nc([*])nc(OC)n4)cc3)CCCCC2)cc1,4.6483
[*]NC(C)CNC(=O)NC(CCCCNC([*])=O)C(=O)OC,5.7921
[*]C1=C2OCCOC2=C(c2ccc(-c3ccc([*])s3)s2)S1(=O)=O,1.9368
[*]C(=O)NC(=O)NCCCN[*],6.155
[*]Nc1nc(Nn2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)nc(N(CC)CC)n1,2.6124
[*]CCCCOC(=O)NCCNC(=O)O[*],6.2788
[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc([*])cc5C4=O)c2C)C3=O)cc1,3.3589
[*]Oc1ccc(S(=O)(=O)c2cccc3c(S(=O)(=O)c4ccc(Oc5ccc(-c6ccc([*])cc6)cc5)cc4)cccc23)cc1,3.4062
[*]CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N[*],5.8961
